userName,review,date,title,isEdited,rating,app_name,app_id,developerResponse
sassy4mp,"This is by far the best music app I have ever used. Easy to use. Easy to search and find songs. Super simple to create or add to a playlist... I have a playlist for my 3 yo son, one for our dog during thunderstorms...((It may not reeeally help her but it makes 𝘮𝘦 feel like I am helping soothe her)). I really can’t think of a downside to this app. Love it. We have the unlimited so any song is instantly there and available to download. Amazing. We did have just the reg FREE version for years bc I refused to buy the unlimited bc . . . It may be a few dollars but I just felt like WHY?! Tho, now having it the unlimited, I feel it is 𝙑𝙀𝙍𝙔 worth it. 
I am a music person so I wld have music playing 𝗅𝗈𝗎𝖽𝗅𝗒 in the house at alllll times if it didn’t drive the hubby nuts. My son is more like me so more n more we have music going and r having the best random dance parties! Still wish it was free/part of the Prime subscription but....maybe one day they will include it at the level of the unlimited!!",2020-08-19 17:33:53,This is the best for me....,False,5,amazon-music-songs-podcasts,510855668,
MsTiffany24,"I really like this app but I have tried an tried to find out why every time I get a phone call or I go out of my app when I push pause on my music an go back within minutes it goes an refreshes the whole app. I’m literally in the middle of a song so what is the purpose of refreshing the app 🧐I tried to just start putting the music on an old phone I have that’s just for WiFi but even that if I’m closer to it an pause it, you can’t leave the app longer then a minute it seems without it just thinking your not coming back or something. An the other issue is it constantly takes random music that i do listen to often out of my music list. I’ll add a song to my music an sometimes a playlist too, an I’ll be listening to the song randomly later on a station that I choose an I’ll go an decide to add it to a playlist an see that it’s not even in my music. So I’ll add it again. I’ve only notice it since like I said I’ll decide to add it to a playlist an see it has the plus next to add music. But why is it constantly coming out of my music. I have checked an seen that most songs still be in a playlist but not added to my music.. again not understanding these little things. But Please please fix. The little things add up to annoyance when it’s continuously acting up..",2021-03-07 21:12:02,The refreshing is annoying,False,4,amazon-music-songs-podcasts,510855668,
Collectgirl,"This app is great, i've been using it for a couple of years now and I love it, it has all the songs I need, and I have yet to search a song that isn't on there (I have prime unlimited). However, lately i have been coming across songs that are extremely static and/or skip around to random parts of the song. For example, when i was listening to Jump, by Van Halen, after the first 40 seconds of the song it skips to around 1:50 of the song, and continues to skip around. It's very frustrating, and makes a terrible static sound when doing so. I've found that when i listen to these songs over my Echo Dot, this problem doesn't occur, it's only when I'm using my Airpods. I've never had this problem until recently, and it's only certain songs that do this, and it's pretty consistently happening. If i restart the app it fixes the problem temporarily, but it's a hassle, not to mention the static noise is terrible and is probably making me deaf. the songs i know of at the moment are Jump-van halen, paper sun-def leppard, bringing on the heartbreak- def leppard. I've only seen this glitch when i recently got into 80's music, and it's only the certain songs. i'm not sure if there are others, but these are the ones i know of. I've seen a problem with several def leppard songs. please fix this.",2021-03-05 12:17:08,Glitchy songs,False,4,amazon-music-songs-podcasts,510855668,
lou spuss,"Not a bad music app. Selection is good could be better. I’m with the others about the songs/artists “disappearing” without notice, it’s frustrating and makes me switch to a different app. I am a touch OCD so when I add a song to a named playlist and it doesn’t add into the overall library of “my music” I get frustrated. I too listen to music for 8-12 hours a day while working and commuting. Sometimes I would like to have the ability to shuffle every song in my library from all playlists, that is impossible with the current setup on the app. “My music” should be the cumulative collection of every song that has been downloaded or added to a playlist. Lastly, I should never hear the same song repeat itself day after day when in shuffle mode. Most days I will start my drive by hitting shuffle and I hear the same songs as the day before. This shouldn’t happen when I have hundreds of songs in each playlist an my music. It’s a simple program of “each song should only play once until all others have done the same” no matter how many times the app has been closed. I use the app because I can’t stand Top 40 stations; it’s like being mule kicked by a rhino. The app needs playback help, music selection is decent not great. If I had to pay for this without my prime subscription I would look elsewhere, the value is currently not there.",2020-12-09 13:41:05,Needs Garlic,False,3,amazon-music-songs-podcasts,510855668,
redres66334,"This is one of the most used app on my phone, especially when I’m with my kids or driving and I quickly need to play one of the kids favorite tracks, it’s super convenient to just say “Alexa play lullabies” or “Alexa play frozen songs”. However I hate that every time I open the app the first thing I get is a full screen ad for Music Unlimited with a giant buy button and a teeny-tiny text to skip. Such an infuriating dark pattern, especially when balancing a bawling kid on one hand and the fact that I have turned down the offer everyday for the last year should be indicative that I am not interested in buying. I already am a Prime member paying 130$ a year. If I wanted to pay for music I would get a subscriptIon that had a bigger collection, just saying. The second biggest irritation as many have mentioned is the constant disappearing of songs to the paid section. I am not sure what licensing changes are driving these but building up a library of playlists and then discovering that half of the songs don’t play anymore is really frustrating.   Apart from the above two, the app is good in general - does what it’s supposed to do, lyrics display is cool and is pretty stable and quick. But the two cons are becoming irritating enough for me to come and write this review and knock off three stars.",2021-06-06 20:40:52,"Love the Alexa integration, Hate the constant up selling of Music Unlimited",False,2,amazon-music-songs-podcasts,510855668,
HillaryLaweeze,"I hate many things about this app, but the feature most bothersome to me of late is the keep listening feature.  The sleep timer is turned off, but every hour I get asked am I still listening to music.  Did I stop the music?! I have my device plugged in across the room because it’s not compatible with Legrand digital audio (fix this too!).  So, every hour when the music stops I have to go press keep listening.  I’m not opposed to exercise, but I’m trying to work, and this incessant disruption makes me want to pay for a different streaming music service.  This should only happen if I engaged the sleep timer.  This is a useless feature, especially if I am actually streaming on WiFi and have the stream only on WiFi feature engaged or am in offline mode listening to downloaded music.  Get rid of this.  Another huge annoyance is the amount of data this app uses even in data saver mode.   My daily commute (160 minutes total streaming time) uses 1 GB of data!  Maybe it would use less data if the lyrics feature could be disabled.  Finally your app support was useless for providing feedback, so hopefully someone is reading these reviews.",2020-05-19 15:37:03,Keep listening feedback is annoying,False,3,amazon-music-songs-podcasts,510855668,
bunnbub54,"I just wanted to say that I LOVE LOVE LOVE music. I listen to music literally ever day. But there is one thing that really gets on my nerves. The music unlimited thing is a good idea but, some songs that I really like to listen to are music unlimited, and I LOVE to listen to Taylor Swift but, a few days ago when I tried to play it, it said that it was music unlimited. But maybe you could have like “pay 10$ for one week of music unlimited songs” or “Pay 20$ for a year” or something like that. You don’t have to that but it’s just a suggestion. 😊

Update: 
As I said before I love music and I like the music unlimited idea but it’s just kind of expensive and when I try to listen to certain songs sometimes the day after I listen to them they become music unlimited when we don’t pay for it in the first place. So I was thinking that the person wanting to listen to music but can’t because it is unlimited could pay, say, $20-$30 for a whole year or 1/2 a year of unlimited songs. I’m not trying to cut how much money you get I’m just throwing out some ideas that you could possibly look at and talk it over. 
I hope that these ideas come to be useful in the future.",2020-10-08 20:36:40,Thought about the music unlimited.,False,3,amazon-music-songs-podcasts,510855668,
Colbat King,"Good app but has a few annoying problems. They allow you to view most of your favorite music but the problem is, the unlimited music thing. You have to pay a small amount of money for hundreds of good songs. Mostly any good song is in the unlimited music part. It’s really annoying. Anyway you pay a small amount but over time it becomes a lot of money. It’s really bothering wand I wish they would stop the unlimited music thingy. But even if they wanted to keep it maybe take off a chunk of songs so we can have good music.( Developers this might get you more customers!) but in truth is an okay app. I would say go ahead but be warned a lot of songs are restricted so it’s quite annoying. Me and my friends have been really bothered and have started to go to other apps. I can’t though because I have an awesome dad who is watching out for me and let’s me use this app but I’m starting to get to the point where I’d rather have no music than this app. It’s getting on my nerves. People! Be WARNED!!! It could bug you 
           Badly. 
But it’s a good app and if you want go ahead. I just can’t express how annoying this can be.",2020-04-07 23:38:27,Good but can be better,False,4,amazon-music-songs-podcasts,510855668,
Floody85,"I am currently subscribed to the unlimited and will be done with it for good after June is over. Short version; of you have prime then it’s included, great. Otherwise save your money.

 I like to listen to stations as it gives me a better variety; first off the variety of similar artists was soo off pace for the first few days I was pressing thumbs down more than I was anything else. These were stations I created and couldn’t believe there were algorithms out there saying they were similar artists, furthermore it would continually throw the same artists I thumbed down MULTIPLE Times in there with different songs that weren’t any better. Secondly and possibly even more frustrating is that when I paused a song and then would go to press play on that song 5-10 minutes later I would just get the “loading song” description and that’s it. I would then need to skip or push to the next song ,then press play again in order for it to start playing music. Lastly if I searched an artist and then created a station off of that artist I would notice that if paused that station and then resumed within 5-10 minutes it wouldn’t resume on the station it would resume on most previously searched artist.. free pandora is a better choice than the current state",2019-06-06 01:50:47,Possibly the most frustrating music app,False,1,amazon-music-songs-podcasts,510855668,
Shaolins Own,"I’m subscribed to the unlimited edition (as well as a prime obv) where I paid for the year upfront for all the music you got. I’ve been using your app for about a year so far.

You’re UI is solid, but there is so much clutter and overlap in your content/songs it makes the overall experience when searching for specific versions of an artists recordings stressful. You will find the same song on 9 different versions of albums some of which are legit and should be “duplicates” but it’s just your orchestration and layout is sloppy. I think using release date of said album for example as an organization method would be a really simple way to manipulate the data so it’s not so messy looking. Take Frank Sinatra’s artist results for example. When scrolling through the albums available, it’s all over the place. One of his major albums is like 7 or 8 rows down in the search results, while other single song albums or various versions are scattered in between and all over.

Organize the results on your UI and I think it might be 4.5 star material. You lose a half star because while content is there in some way the price point is high for already prime subs.",2019-01-01 23:02:42,I like but let’s talk,False,3,amazon-music-songs-podcasts,510855668,
ÜberSuperTexasGal,"Up until recently, I have had ZERO problems with this app. Sure, songs go missing... but its free (with my prime membership) and I can usually find something to replace it with. The problem I have, though, is that lately it has been stopping at irregular intervals and asking if im still listening. I have one particular playlist that is used to get me through medical infusions. I get my IV started and listen to my playlist. I know where I am in the infusion by the song playing. No need to keep pulling out my phone or looking for a clock. My last infusion was interrupted by the “Are you still listening “ thing. I had my phone in my purse across the room. I couldn’t get to it and was left with nothing. Music gets me through these infusions and not having it on  was distressing. If im not listening to it, I will stop it on my own. Considering just buying the songs from iTunes and staying uninterrupted. This hasn’t been an issue until just recently but looking online I see other people have been experiencing it for a long time. It may be time to just let my membership expire as this is really the only thing i use of Prime on a usual basis.",2020-10-31 22:53:10,Are you still listening,False,3,amazon-music-songs-podcasts,510855668,
osooooom,"So, there is this one song that I love, but the artist isn’t putting it on. :( is there some way for me to put that song on their sccount or something? I am not going to search up how to hack because I don’t want to go to the “dark side” also, that would be plain disrespectfull. I’m just saying that I wish there was some way to add to artists albums and stuff, of corse it would have to be approved by the artsist of corse, and if they say no, they would be putting it into considerstion. Or, you could add a clean reviews pole. It would be a better way for artists to get feedback! Just please consider it. One last thing, it keeps delting songs from my playlist. Even though when i search it up on the app it shows up.. really annoying. And the reviews are being honest. It’s REALLLY glitchy. So ummmm, maybe just fix that as well! I’m not mad, promise, it’s just the fact that it is fairly glitchy. Also, i feel like maybe you should atleast have a variaty of wider songs, like Miss Wanna Die, the tiltle may sound bad but i want more than a music box version please. Thank you.",2021-05-15 21:41:16,Maybe consider this,False,4,amazon-music-songs-podcasts,510855668,
